,location,network_provider,How would you rate your overall mobile network experience?,Which of the following issues do you frequently experience? (Select all that apply),What time of day do you usually experience the worst network performance?,How often do you face these issues?,Have you ever reported a network issue to your service provider?,"If yes, how satisfied were you with the response you received?",Would you be willing to rate your network experience regularly using a mobile app?,Would you be comfortable with an app running in the background to measure network performance?,What concerns would you have using such an app? (Select all that apply),Would you be more willing to use the app if your data was anonymized and secured?,How frequently would you be willing to provide feedback via short in-app questions?,What features would encourage you to use such an app? (Select all that apply),Which platform do you use for your phone?,How often do you install and try out new mobile apps?,What would stop you from using this app? (Short Answer),Would you like to be contacted for future updates or to test the app?
7,Douala,Camtel,3,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Daily,Yes,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns,Yes,Once a day,Airtime/data rewards,Android,Frequently,To many ads ,"Yes (If yes, leave your email or phone number)"
8,Kumba,MTN,1,Poor signal strength,No specific time,Daily,Yes,Dissatisfied,Yes,No,Privacy concerns,Maybe,Once a month,Anonymous contribution to service improvements,Android,Occasionally,Privacy concerns,No
8,Kumba,Camtel,1,Poor signal strength,No specific time,Daily,Yes,Dissatisfied,Yes,No,Privacy concerns,Maybe,Once a month,Anonymous contribution to service improvements,Android,Occasionally,Privacy concerns,No
9,Douala,MTN,5,Slow internet speeds;High call latency,Evening (6PM–12AM),Rarely,No,Neutral,Yes,Yes,Data usage,Yes,Once a week,Airtime/data rewards,Android,Occasionally,If is expensive ,"Yes (If yes, leave your email or phone number)"
10,Douala,MTN,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,Evening (6PM–12AM),Daily,No,Very dissatisfied,Maybe,Yes,Privacy concerns;I have no concerns,Yes,Once a day,Airtime/data rewards;Personalized reports on my network experience;Visual performance trends,Android,Occasionally,Death,"Yes (If yes, leave your email or phone number)"
11,Buea,MTN,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,No specific time,Daily,No,Very dissatisfied,Maybe,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone;I have no concerns,Maybe,Once a week,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements;Visual performance trends,Android,Frequently,Not really ,No
12,Buea,MTN,1,Poor signal strength;Slow internet speeds;Unavailable network;High call latency,Evening (6PM–12AM),Daily,Yes,Very dissatisfied,Maybe,Yes,Privacy concerns,Yes,Once a week,Personalized reports on my network experience;Anonymous contribution to service improvements,Android,Occasionally,Inefficiency ,"Yes (If yes, leave your email or phone number)"
13,Douala,MTN,1,Poor signal strength;Slow internet speeds;Unavailable network,Evening (6PM–12AM),Daily,Yes,Very dissatisfied,Yes,Yes,Privacy concerns;Slowing down my phone,Yes,Once a month,Airtime/data rewards,iOS,Rarely,If it takes a lot space ,"Yes (If yes, leave your email or phone number)"
14,Buea,MTN,4,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Daily,No,Dissatisfied,Yes,Yes,Battery drain,Yes,Once a week,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements;Visual performance trends,Android,Frequently,Poor network ,"Yes (If yes, leave your email or phone number)"
15,Buea,MTN,2,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Daily,No,Neutral,Yes,Not sure,Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements;Visual performance trends,Android,Occasionally,It's a new app and I will not like to use an app not fully completed ,No
16,Buea,MTN,3,Slow internet speeds,Evening (6PM–12AM),A few times a week,No,Dissatisfied,Yes,Not sure,Battery drain;Data usage;Privacy concerns,Maybe,Only when I experience a problem,Airtime/data rewards,Android,Occasionally,Nothing ,"Yes (If yes, leave your email or phone number)"
17,Buea,MTN,3,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency;Low network coverage ,Evening (6PM–12AM),Daily,Yes,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Airtime/data rewards,Android,Frequently,If the app size is too big,"Yes (If yes, leave your email or phone number)"
17,Buea,Orange,3,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency;Low network coverage ,Evening (6PM–12AM),Daily,Yes,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Airtime/data rewards,Android,Frequently,If the app size is too big,"Yes (If yes, leave your email or phone number)"
17,Buea,Camtel,3,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency;Low network coverage ,Evening (6PM–12AM),Daily,Yes,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Airtime/data rewards,Android,Frequently,If the app size is too big,"Yes (If yes, leave your email or phone number)"
18,Buea,MTN,3,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Once a week,No,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Personalized reports on my network experience;Visual performance trends,Android,Occasionally,Privacy concerns,"Yes (If yes, leave your email or phone number)"
18,Buea,Orange,3,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Once a week,No,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Personalized reports on my network experience;Visual performance trends,Android,Occasionally,Privacy concerns,"Yes (If yes, leave your email or phone number)"
19,Buea,MTN,2,Slow internet speeds,Afternoon (12PM–6PM),A few times a week,Yes,Neutral,Yes,Yes,Data usage,Yes,Once a week,Airtime/data rewards;,iOS,Frequently,Slow internet ,"Yes (If yes, leave your email or phone number)"
20,Buea,MTN,3,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;,Afternoon (12PM–6PM),A few times a week,No,Very dissatisfied,Maybe,Not sure,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Once a week,Anonymous contribution to service improvements;,Android,Frequently,Data usage ,No
21,Bamenda,MTN,3,Poor signal strength;Slow internet speeds,Afternoon (12PM–6PM),Daily,Yes,Neutral,Yes,Not sure,Battery drain;Data usage,Yes,Only when I experience a problem,Airtime/data rewards,Android,Occasionally,If it uses data,"Yes (If yes, leave your email or phone number)"
21,Bamenda,Camtel,3,Poor signal strength;Slow internet speeds,Afternoon (12PM–6PM),Daily,Yes,Neutral,Yes,Not sure,Battery drain;Data usage,Yes,Only when I experience a problem,Airtime/data rewards,Android,Occasionally,If it uses data,"Yes (If yes, leave your email or phone number)"
22,Bamenda,MTN,3,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;,Evening (6PM–12AM),Daily,No,Neutral,Maybe,Not sure,Data usage;Slowing down my phone,Yes,Only when I experience a problem,Personalized reports on my network experience;Anonymous contribution to service improvements,Android,Occasionally,Data restraints ,"Yes (If yes, leave your email or phone number)"
23,Buea,MTN,1,Poor signal strength;Slow internet speeds;Unavailable network,Evening (6PM–12AM),Daily,Yes,Dissatisfied,Maybe,No,Battery drain;Data usage;Slowing down my phone,Yes,Once a month,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements,Android,Occasionally,"Data usage, which may intend slow down the internet connection, since it runs in the background ","Yes (If yes, leave your email or phone number)"
23,Buea,Orange,1,Poor signal strength;Slow internet speeds;Unavailable network,Evening (6PM–12AM),Daily,Yes,Dissatisfied,Maybe,No,Battery drain;Data usage;Slowing down my phone,Yes,Once a month,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements,Android,Occasionally,"Data usage, which may intend slow down the internet connection, since it runs in the background ","Yes (If yes, leave your email or phone number)"
23,Buea,Camtel,1,Poor signal strength;Slow internet speeds;Unavailable network,Evening (6PM–12AM),Daily,Yes,Dissatisfied,Maybe,No,Battery drain;Data usage;Slowing down my phone,Yes,Once a month,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements,Android,Occasionally,"Data usage, which may intend slow down the internet connection, since it runs in the background ","Yes (If yes, leave your email or phone number)"
24,Buea,MTN,2,Poor signal strength;Slow internet speeds;Unavailable network,No specific time,Daily,No,Dissatisfied,Maybe,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Maybe,Only when I experience a problem,Airtime/data rewards;Anonymous contribution to service improvements,Android,Frequently,.,"Yes (If yes, leave your email or phone number)"
25,Bamenda,MTN,3,Slow internet speeds,Afternoon (12PM–6PM),A few times a week,No,Neutral,Yes,Yes,Data usage;Privacy concerns,Yes,Once a week,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements,Android,Occasionally,"App size, if it's not heavy to download and consumes a lot of ram","Yes (If yes, leave your email or phone number)"
25,Bamenda,Orange,3,Slow internet speeds,Afternoon (12PM–6PM),A few times a week,No,Neutral,Yes,Yes,Data usage;Privacy concerns,Yes,Once a week,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements,Android,Occasionally,"App size, if it's not heavy to download and consumes a lot of ram","Yes (If yes, leave your email or phone number)"
26,Yaounde,MTN,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,Afternoon (12PM–6PM),Daily,Yes,Dissatisfied,Maybe,Yes,Data usage,Yes,Once a week,Anonymous contribution to service improvements,iOS,Frequently,Using background data and reducing batter,"Yes (If yes, leave your email or phone number)"
27,Bamenda,MTN,3,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Daily,No,Neutral,No,Yes,Data usage;Privacy concerns,Yes,Only when I experience a problem,Airtime/data rewards,Android,Occasionally,Privacy concerns and lagging ,"Yes (If yes, leave your email or phone number)"
27,Bamenda,Orange,3,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Daily,No,Neutral,No,Yes,Data usage;Privacy concerns,Yes,Only when I experience a problem,Airtime/data rewards,Android,Occasionally,Privacy concerns and lagging ,"Yes (If yes, leave your email or phone number)"
28,Bamenda,MTN,3,Slow internet speeds,Afternoon (12PM–6PM),A few times a week,No,Neutral,Yes,Yes,Data usage;Privacy concerns,Yes,Once a week,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements,Android,Occasionally,App size for download and amount of ram it will consume,"Yes (If yes, leave your email or phone number)"
28,Bamenda,Orange,3,Slow internet speeds,Afternoon (12PM–6PM),A few times a week,No,Neutral,Yes,Yes,Data usage;Privacy concerns,Yes,Once a week,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements,Android,Occasionally,App size for download and amount of ram it will consume,"Yes (If yes, leave your email or phone number)"
29,Buea,Camtel,2,Slow internet speeds,Evening (6PM–12AM),Daily,No,Neutral,No,No,Data usage,No,Once a month,Airtime/data rewards,Android,Occasionally,Data usage,No
30,Douala,MTN,2,Poor signal strength;Slow internet speeds;Unavailable network,No specific time,Daily,Yes,Dissatisfied,Yes,Not sure,Battery drain;Data usage,Maybe,Once a month,Airtime/data rewards,Android,Rarely,🤷🏽‍♂️,No
30,Douala,Orange,2,Poor signal strength;Slow internet speeds;Unavailable network,No specific time,Daily,Yes,Dissatisfied,Yes,Not sure,Battery drain;Data usage,Maybe,Once a month,Airtime/data rewards,Android,Rarely,🤷🏽‍♂️,No
30,Douala,Orange,2,Poor signal strength;Slow internet speeds;Unavailable network,No specific time,Daily,Yes,Dissatisfied,Yes,Not sure,Battery drain;Data usage,Maybe,Once a month,Airtime/data rewards,Android,Rarely,🤷🏽‍♂️,No
31,Douala,MTN,2,Poor signal strength;Slow internet speeds;,Afternoon (12PM–6PM),Daily,No,Neutral,Yes,Yes,I have no concerns,Yes,Once a week,Airtime/data rewards;Personalized reports on my network experience,iOS,Occasionally,Inefficiency ,No
31,Douala,Orange,2,Poor signal strength;Slow internet speeds;,Afternoon (12PM–6PM),Daily,No,Neutral,Yes,Yes,I have no concerns,Yes,Once a week,Airtime/data rewards;Personalized reports on my network experience,iOS,Occasionally,Inefficiency ,No
32,Buea,MTN,1,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network,No specific time,Daily,No,Neutral,No,Yes,Battery drain;Slowing down my phone,Yes,Only when I experience a problem,Anonymous contribution to service improvements,iOS,Rarely,"If the app itself nécessitâtes network for the rating,this may slow down the ratings or complains also if no improvements are made in the long run","Yes (If yes, leave your email or phone number)"
32,Buea,Orange,1,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network,No specific time,Daily,No,Neutral,No,Yes,Battery drain;Slowing down my phone,Yes,Only when I experience a problem,Anonymous contribution to service improvements,iOS,Rarely,"If the app itself nécessitâtes network for the rating,this may slow down the ratings or complains also if no improvements are made in the long run","Yes (If yes, leave your email or phone number)"
32,Buea,Camtel,1,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network,No specific time,Daily,No,Neutral,No,Yes,Battery drain;Slowing down my phone,Yes,Only when I experience a problem,Anonymous contribution to service improvements,iOS,Rarely,"If the app itself nécessitâtes network for the rating,this may slow down the ratings or complains also if no improvements are made in the long run","Yes (If yes, leave your email or phone number)"
33,Buea,MTN,2,Poor signal strength;Slow internet speeds,Afternoon (12PM–6PM),Daily,No,Dissatisfied,Maybe,Yes,Battery drain;Data usage,Yes,Only when I experience a problem,Anonymous contribution to service improvements,iOS,Rarely,constant pop ups,No
33,Buea,Camtel,2,Poor signal strength;Slow internet speeds,Afternoon (12PM–6PM),Daily,No,Dissatisfied,Maybe,Yes,Battery drain;Data usage,Yes,Only when I experience a problem,Anonymous contribution to service improvements,iOS,Rarely,constant pop ups,No
34,Buea,MTN,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,No specific time,A few times a week,Yes,Dissatisfied,Yes,Yes,I have no concerns,Yes,Once a week,Airtime/data rewards,Android,Occasionally,Nothing actually,"Yes (If yes, leave your email or phone number)"
34,Buea,Orange,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,No specific time,A few times a week,Yes,Dissatisfied,Yes,Yes,I have no concerns,Yes,Once a week,Airtime/data rewards,Android,Occasionally,Nothing actually,"Yes (If yes, leave your email or phone number)"
34,Buea,Camtel,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,No specific time,A few times a week,Yes,Dissatisfied,Yes,Yes,I have no concerns,Yes,Once a week,Airtime/data rewards,Android,Occasionally,Nothing actually,"Yes (If yes, leave your email or phone number)"
35,Buea,MTN,5,Slow internet speeds;Dropped calls;Unavailable network,Evening (6PM–12AM),Daily,No,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Personalized reports on my network experience,iOS,Rarely,Nothing for now,"Yes (If yes, leave your email or phone number)"
36,Buea,MTN,2,Poor signal strength;Slow internet speeds;Unavailable network,No specific time,Daily,No,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns,Yes,Once a day,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements;Visual performance trends,Android,Occasionally,If it doesn't perform it's duties ,No
36,Buea,Camtel,2,Poor signal strength;Slow internet speeds;Unavailable network,No specific time,Daily,No,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns,Yes,Once a day,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements;Visual performance trends,Android,Occasionally,If it doesn't perform it's duties ,No
37,Bamenda,MTN,3,Poor signal strength;Slow internet speeds,Afternoon (12PM–6PM),Daily,No,Very satisfied,Yes,Yes,Battery drain;Data usage,Yes,Once a month,Airtime/data rewards;Personalized reports on my network experience,Android,Frequently,Battery drainage,"Yes (If yes, leave your email or phone number)"
37,Bamenda,Orange,3,Poor signal strength;Slow internet speeds,Afternoon (12PM–6PM),Daily,No,Very satisfied,Yes,Yes,Battery drain;Data usage,Yes,Once a month,Airtime/data rewards;Personalized reports on my network experience,Android,Frequently,Battery drainage,"Yes (If yes, leave your email or phone number)"
38,Douala,Orange,3,Slow internet speeds,No specific time,A few times a week,No,Dissatisfied,Yes,Yes,Battery drain,Yes,Once a week,Airtime/data rewards,Android,Occasionally,Nothing ,"Yes (If yes, leave your email or phone number)"
39,Douala,Nextel,3,Poor signal strength;Slow internet speeds;Unavailable network,No specific time,Daily,Yes,Dissatisfied,No,Yes,I have no concerns,Yes,Only when I experience a problem,Airtime/data rewards;Personalized reports on my network experience,iOS,Rarely,Nothing,No
40,Bafoussam,Orange,3,Poor signal strength;Slow internet speeds,Evening (6PM–12AM),Daily,No,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Airtime/data rewards;Personalized reports on my network experience,Android,Occasionally,If it's inefficient in monitoring network as it's supposed to. If it slows down my phone or can have unauthorised access to my private data,"Yes (If yes, leave your email or phone number)"
41,Bamenda,MTN,5,Slow internet speeds,Afternoon (12PM–6PM),Once a week,Yes,Very satisfied,Yes,Yes,Privacy concerns,Yes,Once a week,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements,iOS,Occasionally,Inefficiency ,"Yes (If yes, leave your email or phone number)"
41,Bamenda,Orange,5,Slow internet speeds,Afternoon (12PM–6PM),Once a week,Yes,Very satisfied,Yes,Yes,Privacy concerns,Yes,Once a week,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements,iOS,Occasionally,Inefficiency ,"Yes (If yes, leave your email or phone number)"
42,Bamenda,MTN,2,Poor signal strength;Slow internet speeds;Unavailable network,Evening (6PM–12AM),Daily,Yes,Dissatisfied,Yes,Yes,Data usage,Yes,Once a month,Airtime/data rewards,Android,Occasionally,Too many notifications ,"Yes (If yes, leave your email or phone number)"
42,Bamenda,Orange,2,Poor signal strength;Slow internet speeds;Unavailable network,Evening (6PM–12AM),Daily,Yes,Dissatisfied,Yes,Yes,Data usage,Yes,Once a month,Airtime/data rewards,Android,Occasionally,Too many notifications ,"Yes (If yes, leave your email or phone number)"
43,Douala,Orange,2,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),A few times a week,Yes,Very dissatisfied,Maybe,Not sure,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Anonymous contribution to service improvements;Visual performance trends,iOS,Occasionally,Security ,"Yes (If yes, leave your email or phone number)"
44,Yaounde,MTN,5,Slow internet speeds;Unavailable network,No specific time,Rarely,No,Neutral,Yes,Not sure,Battery drain,Maybe,Only when I experience a problem,Airtime/data rewards,Android,Occasionally,I don't know ,No
44,Yaounde,Camtel,5,Slow internet speeds;Unavailable network,No specific time,Rarely,No,Neutral,Yes,Not sure,Battery drain,Maybe,Only when I experience a problem,Airtime/data rewards,Android,Occasionally,I don't know ,No
45,Bamenda,MTN,4,Slow internet speeds;Unavailable network,Evening (6PM–12AM),A few times a week,No,Neutral,Maybe,Yes,Data usage,Yes,Only when I experience a problem,Airtime/data rewards,Android,Frequently,Lack of mobile data,"Yes (If yes, leave your email or phone number)"
46,Bamenda,MTN,3,Poor signal strength;Slow internet speeds;Unavailable network,No specific time,Daily,No,Neutral,Maybe,Yes,Battery drain;Data usage,Yes,Once a month,Airtime/data rewards,Android,Occasionally,Too many ads and maybe if it can reach what I expect of it,"Yes (If yes, leave your email or phone number)"
47,Buea,MTN,1,Poor signal strength;Slow internet speeds;Unavailable network;High call latency,Evening (6PM–12AM),Daily,No,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns,Yes,Only when I experience a problem,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements,iOS,Frequently,Slow internet ,"Yes (If yes, leave your email or phone number)"
48,Bamenda,MTN,2,Poor signal strength;Slow internet speeds;Unavailable network,No specific time,Daily,No,Neutral,Yes,Yes,Data usage;Privacy concerns,Maybe,Once a day,Personalized reports on my network experience;Anonymous contribution to service improvements,Android,Occasionally,No noticable improvements in services,No
49,Buea,MTN,2,Poor signal strength;Slow internet speeds,No specific time,Daily,Yes,Very satisfied,Yes,Yes,Battery drain;Data usage;Slowing down my phone,Yes,Once a month,Airtime/data rewards,Android,Occasionally,Do not know ,"Yes (If yes, leave your email or phone number)"
50,Douala,Orange,2,Slow internet speeds;Unavailable network,No specific time,Rarely,Yes,Dissatisfied,Yes,Yes,Data usage,Yes,Once a week,Airtime/data rewards,iOS,Occasionally,No improvement in data quality ,"Yes (If yes, leave your email or phone number)"
51,Bamenda,MTN,3,Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),A few times a week,No,Neutral,No,Yes,Data usage;Privacy concerns,Yes,Only when I experience a problem,Airtime/data rewards,iOS,Occasionally,Data,No
51,Bamenda,Orange,3,Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),A few times a week,No,Neutral,No,Yes,Data usage;Privacy concerns,Yes,Only when I experience a problem,Airtime/data rewards,iOS,Occasionally,Data,No
52,Yaounde,MTN,2,Poor signal strength;Slow internet speeds,No specific time,Daily,No,Neutral,Maybe,Yes,Battery drain;Data usage;Privacy concerns,Maybe,Once a week,Airtime/data rewards;Anonymous contribution to service improvements,Android,Occasionally,"adds, in-app purchases, data consumption, 
","Yes (If yes, leave your email or phone number)"
53,Buea,MTN,1,Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Daily,No,Neutral,Yes,Yes,Battery drain;Privacy concerns;Slowing down my phone,Yes,Once a month,Airtime/data rewards,Android,Frequently,Poor performance ,"Yes (If yes, leave your email or phone number)"
53,Buea,Camtel,1,Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Daily,No,Neutral,Yes,Yes,Battery drain;Privacy concerns;Slowing down my phone,Yes,Once a month,Airtime/data rewards,Android,Frequently,Poor performance ,"Yes (If yes, leave your email or phone number)"
54,Bamenda,MTN,3,Poor signal strength;Slow internet speeds,Evening (6PM–12AM),Daily,No,Neutral,Maybe,No,Battery drain;Data usage,Yes,Once a week,Airtime/data rewards,iOS,Occasionally,Data Usage,No
54,Bamenda,Orange,3,Poor signal strength;Slow internet speeds,Evening (6PM–12AM),Daily,No,Neutral,Maybe,No,Battery drain;Data usage,Yes,Once a week,Airtime/data rewards,iOS,Occasionally,Data Usage,No
55,Buea,MTN,2,Slow internet speeds;Unavailable network,No specific time,Daily,No,Neutral,Yes,Yes,Data usage;Slowing down my phone,Yes,Once a week,Airtime/data rewards,iOS,Rarely,Using of my personal data,"Yes (If yes, leave your email or phone number)"
55,Buea,Orange,2,Slow internet speeds;Unavailable network,No specific time,Daily,No,Neutral,Yes,Yes,Data usage;Slowing down my phone,Yes,Once a week,Airtime/data rewards,iOS,Rarely,Using of my personal data,"Yes (If yes, leave your email or phone number)"
56,Bamenda,MTN,2,Poor signal strength;Slow internet speeds,No specific time,Daily,No,Very dissatisfied,Yes,Yes,Battery drain;Data usage;Slowing down my phone,Yes,Once a week,Airtime/data rewards;Personalized reports on my network experience,Android,Rarely,Nothing,"Yes (If yes, leave your email or phone number)"
56,Bamenda,Orange,2,Poor signal strength;Slow internet speeds,No specific time,Daily,No,Very dissatisfied,Yes,Yes,Battery drain;Data usage;Slowing down my phone,Yes,Once a week,Airtime/data rewards;Personalized reports on my network experience,Android,Rarely,Nothing,"Yes (If yes, leave your email or phone number)"
57,Douala,MTN,2,Poor signal strength;Slow internet speeds;Unavailable network,No specific time,Daily,No,Neutral,Maybe,Not sure,Data usage;Privacy concerns,Maybe,Only when I experience a problem,Anonymous contribution to service improvements,iOS,Never,"Data usage, privacy concerns",No
57,Douala,Camtel,2,Poor signal strength;Slow internet speeds;Unavailable network,No specific time,Daily,No,Neutral,Maybe,Not sure,Data usage;Privacy concerns,Maybe,Only when I experience a problem,Anonymous contribution to service improvements,iOS,Never,"Data usage, privacy concerns",No
58,Buea,MTN,2,Poor signal strength;Slow internet speeds;High call latency,Evening (6PM–12AM),Once a week,Yes,Somewhat satisfied,Yes,Not sure,Battery drain;Slowing down my phone,Yes,Once a week,Airtime/data rewards;Visual performance trends,Android,Occasionally,Drain of battery,"Yes (If yes, leave your email or phone number)"
59,Bamenda,MTN,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,No specific time,Daily,Yes,Very dissatisfied,Yes,Yes,I have no concerns,Yes,Once a day,Airtime/data rewards,Android,Frequently,Ads,"Yes (If yes, leave your email or phone number)"
